,id
0,1248098942086149888
1,1248098819608379904
2,1248098768031010048
3,1248098666348329984
4,1248098634987699968
5,1248098573964600064
6,1248098458633989888
7,1248098369404150016
8,1248098368401880064
9,1248098312986690048
10,1248098253788160000
11,1248097992214830080
12,1248097813256440064
13,1248097791899030016
14,1248097787905860096
15,1248097746529260032
16,1248097546381050112
17,1248097537921169920
18,1248097537921149952
19,1248097537895970048
20,1248097459139579904
21,1248097242310779904
22,1248097233742040064
23,1248097108667840000
24,1248097042712460032
25,1248096943185829888
26,1248096885354739968
27,1248096659466149888
28,1248096659449329920
29,1248096618672529920
30,1248096450233449984
31,1248096139695589888
32,1248096049811440128
33,1248095892873380096
34,1248095687356460032
35,1248095675507709952
36,1248095622067940096
37,1248095380174180096
38,1248095152876460032
39,1248095107548679936
40,1248095059217550080
41,1248094778388110080
42,1248094764752399872
43,1248094622263330048
44,1248094442520809984
45,1248094400153920000
46,1248094400149769984
47,1248094400145580032
48,1248094379983529984
49,1248094317257850112
50,1248094304368659968
51,1248094091423950080
52,1248093993843350016
53,1248093964894269952
54,1248093960301659904
55,1248093900645989888
56,1248093884556679936
57,1248093878562899968
58,1248093830508839936
59,1248093709398240000
60,1248093588610860032
61,1248093455441469952
62,1248093454879480064
63,1248093454141230080
64,1248093453570820096
65,1248093453298230016
66,1248093453029789952
67,1248093450962190080
68,1248093379235209984
69,1248093376148320000
70,1248093292522350080
71,1248093162373029888
72,1248093094576150016
73,1248093069188229888
74,1248093034715079936
75,1248092985989969920
76,1248092932122400000
77,1248092856218240000
78,1248092786491940096
79,1248092774521609984
80,1248092578009969920
81,1248092540705710080
82,1248092504227840000
83,1248092476751180032
84,1248092461806680064
85,1248092415396740096
86,1248092188086599936
87,1248092171267440128
88,1248092132276979968
89,1248092130440090112
90,1248092115957090048
91,1248092054351040000
92,1248091955210249984
93,1248091769947869952
94,1248091611940219904
95,1248091427441189888
96,1248091258016480000
97,1248091230702960128
98,1248091200671770112
99,1248091157923599872
100,1248091002427980032
101,1248090854188780032
102,1248090788459840000
103,1248090759867310080
104,1248090716175290112
105,1248090699742000128
106,1248090693807030016
107,1248090524608800000
108,1248090414365750016
