,0,1,2
0,2020-02-25T04:01:46.000Z,1232153691131498497,"@AndreaFixes Because of inundation everywhere, I must call off to see my client."
1,2020-02-25T03:58:41.000Z,1232152913658515456,"@rezzidoke As evidenced by, if you hadn't specified ""fiction"" there would be an inundation of Catholic or otherwise religious music in my list"
2,2020-02-25T02:45:47.000Z,1232134567735115777,"Yup. Certain parts of Richmond, San Francisco, and San Jose in the Bay Area have always had inundation problems. They are in low-lying areas where the residents are predominantly POCs. https://t.co/LUMN0RjfmO"
3,2020-02-25T02:33:13.000Z,1232131403862679552,"“Ineffable Inclination for Inundation” number is 6.  Acrylic pour on a 12 x 12 gallery wrapped canvas
#abstractexpressionism #abstractart #abstractpainting #painting #acrylicpainting #pourpainting #acrylicpouring… https://t.co/wQCkbZHYrU"
4,2020-02-25T01:41:08.000Z,1232118297644032000,"@Crowers21 @manifesto2000 @RoyPentland @AreWeThatStupi1 @Geoff4273 @NeasdenParade @GillesnFio @IngersolRobert @MedBennett @Vanusvik @Niggledom @MartinBrampton @no2wind @jlucrich @Hullabaloo_show @Barbarajdurkin @RedDragonFly19 @novakglobal @RBerckelman @johnsta04633925 @chrispydog @DougieG @0Sundance @TQMKA @dogtheCO1 @KCTaz @markcojuangco @Michael_D_Crow @AlbertStienstra @JBW227 @realSteve1234 @GeraldKutney @John2017abc @HVACPerformance @manlyvibemark @bazakel @BettyMatt1 @realJoeDick @Robin_Hagues @shesmegg82 @ozhomeschool @JesseLonnen @Tony03382773 @japett @DrakeTwgdadrea1 @Leynad777 @Blackbody88 @GWLarsson @FoWLChi @pattena1 Co2 is the main one re rising average temp. The rest like IOD, SSW, el nino, la Nina etc are more important to consider for adaptation work. Bushfires coastal inundation storms etc. Which should all be happening anyway as these are regular things. Weather is extremely variable."
5,2020-02-25T01:37:52.000Z,1232117476730630144,"@CorinneDinDin @toddowyoung This is a really good idea, I think I might have do something similar as i'm finding the inundation very overwhelming as well."
6,2020-02-25T01:01:08.000Z,1232108229976449026,"A world away from bubble market for biscuits, life on the frontline of communities in #Philippines hit by rising #RisingSeaLevels. Inundation for many months per year. Classes in the rafters. Mould everywhere. https://t.co/QfNjsJQhpZ"
7,2020-02-25T00:24:16.000Z,1232098955443523585,Floods inundated a number of areas in South Jakarta with varying heights.     - Rain that flushed Jakarta and around from Monday (24/2) night to Tuesday morning caused inundation in a number of areas in South Jakarta. https://t.co/riF0TvV0wA
8,2020-02-24T23:55:50.000Z,1232091798102773761,@hanpersands I want all the inundation.
9,2020-02-24T23:24:19.000Z,1232083867156135936,"They don’t care about popularity. They care about inundation. Remember, these are the people who believe that attractive women are only considered attractive because media portrays it that way, and their tactics reflect such beliefs."
10,2020-02-24T23:03:02.000Z,1232078511000571907,"How, in 2020, can we be reducing regulations on development within tsunami inundation zones? 🤯 https://t.co/pHa6uvJfuC"
11,2020-02-24T22:44:09.000Z,1232073759005323265,"Zone AE and A1-30 | https://t.co/mHgxyEwASC
https://t.co/qnvpmwv3JW

The purpose of this page is to define Zones AE and A1-30, commonly used terms in floodplain management. Definition/Description. Areas subject to inundation by the 1-percent-annual-chance flood event"
12,2020-02-24T21:35:58.000Z,1232056598941405185,"Hospitals, fire stations, and schools should not be built in tsunami inundation zones, EVER. Full stop. Please read Dr. Goldfinger’s excellent explanation. I oppose HB 4119. #orpol #orleg https://t.co/SFLXwrUBvd"
13,2020-02-24T21:02:43.000Z,1232048231321726977,From 2000-2016 there was more development in US floodplains that there was in all the areas not prone to inundation combined. These greedy development practices put us all in peril and will come at tremendous taxpayer cost down the line. https://t.co/LsaWbrSqAl
14,2020-02-24T20:43:44.000Z,1232043455016243201,"Just favorited ""News Quiz: Immigration, Inundation, Resignation, N..."" by BBCFridayNightComedy on Mixcloud https://t.co/UO9C9JIxTp"
15,2020-02-24T20:18:57.000Z,1232037215653519369,"“Ineffable Inclination for Inundation” number 5.  Acrylic pour on a 12 x 12 gallery wrapped canvas
#abstractexpressionism #abstractart #abstractpainting #painting #acrylicpainting #pourpainting #acrylicpouring… https://t.co/BHS6TwsnDt"
16,2020-02-24T19:55:36.000Z,1232031341639852032,Keeping History Above Water is heading to the Caribbean! This one-day workshop in Barbados on March 16 will engage heritage specialists to examine the threat of short term flooding due to storm surge and long-term inundation caused by rising seas. Click https://t.co/d4nLakIN1z
17,2020-02-24T19:47:41.000Z,1232029347520929793,"@floodingireland @MetEireann @rtenews Terrified for my family and friends in the North. Do we know if any of them made it onto the boats before the inundation of the flood waters. So sad to see that they have disappeared off the face of the earth, like non-persons. https://t.co/sLaT3B2C6T"
18,2020-02-24T18:31:56.000Z,1232010287873695746,"“Ineffable Inclination for Inundation” number 4.  Acrylic pour on a 12 x 12 gallery wrapped canvas
#abstractexpressionism #abstractart #abstractpainting #painting #acrylicpainting #pourpainting #acrylicpouring… https://t.co/M8NS21pTqn"
19,2020-02-24T18:30:18.000Z,1232009876034990081,Very interesting trip today to look at @Henry_Ward91 ‘s soils post-inundation. And great to meet the Countryfile team too! https://t.co/x4KVpDXg2M
20,2020-02-24T18:27:42.000Z,1232009220150743040,"@marcorubio Until you acknowledge that climate change will impact #Florida and the sea level that surrounds your state on 3 sides ...why would anyone follow your lead on economic anything?

Socialism would probably have a better plan for saltwater inundation than your current plan of denial."
